Class ID;Definitions;decreased_in_magnitude_relative_to;functionally related to
http://purl.obolibrary.org/obo/PATO_0001638;A necessity quality inhering in a process by virtue of the bearer's being essential or indispensable.;;
http://purl.obolibrary.org/obo/PATO_0002099;A cellular quality inhering in a bearer by virtue of its stable specialization to a particular cell type.;;
http://purl.obolibrary.org/obo/PATO_0001655;A concentration quality inhering in a bearer by virtue of the bearer's amount of osmoles of solute per liter of solution.;;
http://purl.obolibrary.org/obo/PATO_0000614;A pattern where all the repeated elements are oriented in the same direction.;;
http://purl.obolibrary.org/obo/PATO_0001321;An angle which is 90 degrees to another entity.;;
http://purl.obolibrary.org/obo/PATO_0002476;A position quality inhering in a bearer by virtue of the bearer's forming the end of another entity.;;
http://purl.obolibrary.org/obo/PATO_0002493;An orientation quality inhering in a bearer by virtue of the bearer having a position that is directed anteroventrally.;;
http://purl.obolibrary.org/obo/PATO_0000758;A balance quality inhering in a bearer by virtue of the bearer's lacking balance.;;
http://purl.obolibrary.org/obo/PATO_0060003;A quality inhering in a bearer by virtue of the bearer's being present in females and absent from males in members of the same species.;;
http://purl.obolibrary.org/obo/PATO_0000441;A quality of a single process inhering in a bearer by virtue of the bearer's marked by tedious repetition.;;
http://purl.obolibrary.org/obo/PATO_0005015;A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.;;
http://purl.obolibrary.org/obo/PATO_0002219;A quality inhering in a bearer that is shaped in the form of a fan.;;
http://purl.obolibrary.org/obo/PATO_0002329;A shape quality inhering in a bearer by virtue of the bearer's exhibiting a upward bending of its leaves or other plant parts.;;
http://purl.obolibrary.org/obo/PATO_0000331;A color quality inhering in a bearer by virtue of the bearer's being altered or spoiled in color.;;
http://purl.obolibrary.org/obo/PATO_0001469;A curvature quality inhering in a bearer by virtue of the bearer's being curved towards the abdomen of an organism.;;
http://purl.obolibrary.org/obo/PATO_0001486;An age quality that exists by virtue of the time (years and months) that the bearer has existed.;;
http://purl.obolibrary.org/obo/PATO_0001956;A variability quality inhering in a bearer by virtue of whether the bearer exhibits size variation or change.;;
http://purl.obolibrary.org/obo/PATO_0001973;A shape quality inhering in a bearer by virtue of the bearer's being tapering gradually into a rigid point.;;
http://purl.obolibrary.org/obo/GO_0098796;Any protein complex that is part of a membrane.;;
http://purl.obolibrary.org/obo/PATO_0001809;A pattern quality inhering in a bearer by virtue of the bearer's being compact or dense in arrangement.;;
http://purl.obolibrary.org/obo/PATO_0001826;A wetness quality that is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0045081;A viscosity which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0001339;A composition quality inhering in an bearer by virtue of the bearer's homogeneity of a biomaterial.;;
http://purl.obolibrary.org/obo/PATO_0005021;Cuspidate quality inhering in a bearer by virtue of the bearer's possessing a single cusp.;;
http://purl.obolibrary.org/obo/PATO_0000634;A spatial pattern inhering in a bearer by virtue of the bearer's involvement of only one part or side.;;
http://purl.obolibrary.org/obo/PATO_0001675;An efficiency which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0001472;A depth which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0001455;A quality inhering in a bearer by virtue of the bearer's dependence on oxygen.;;
http://purl.obolibrary.org/obo/PATO_0001325;A symmetry quality inhering in a bearer by virtue of the bearer's having equal proportion around a central point or axis.;;
http://purl.obolibrary.org/obo/PATO_0001308;A variability of temperature which is relatively high.;;
http://purl.obolibrary.org/obo/PATO_0001942;A color consisting of brown and green hues.;;
http://purl.obolibrary.org/obo/PATO_0000068;TODO: define this or obsolete it and move children somewhere else.;;
http://purl.obolibrary.org/obo/PATO_0001922;A positional quality inhering in a bearer by virtue of the bearer's being positioned towards the rear of an organism.;;
http://purl.obolibrary.org/obo/PATO_0002349;A spatial quality inhering in a bearer by virtue of the bearer's being located toward the base of an organism relative to another entity.;;
http://purl.obolibrary.org/obo/PATO_0002146;A quality inhering in a bearer by virtue of the severity of infectious disease caused by the bearer in a target organism.;;
http://purl.obolibrary.org/obo/PATO_0002256;A cuscpidate quality inhering in a bearer by virtue of the bearer possessing three cusps.;;
http://purl.obolibrary.org/obo/PATO_0002383;A waxiness which is relatively low.;;
http://purl.obolibrary.org/obo/PATO_0000428;A quality of a single process inhering in a bearer by virtue of the bearer's once or in or a few unpredictable instances.;;
http://purl.obolibrary.org/obo/PATO_0000665;A color brightness which is relatively high.;;
http://purl.obolibrary.org/obo/PATO_0002032;A reflectivity quality inhering in light by virtue of the bearer's scattering occurring at small angle to the incident beam.;;
http://purl.obolibrary.org/obo/PATO_0001679;A volume quality inhering in a mass of substance by virtue of the amount of 3-dimensional space it occupies.|The reciprocal of density.;;
http://purl.obolibrary.org/obo/PATO_0000321;A color consisting of red and blue hues.;;
http://purl.obolibrary.org/obo/PATO_0001459;A sensitivity of a process inhering in a biological process by virtue of the process unfolding in a location with oxygen.;;
http://purl.obolibrary.org/obo/PATO_0001946;A color pattern inhering in a bearer by virtue of bearer's exhibiting transverse stripes of one hue or degree of saturation crossing another.;;
http://purl.obolibrary.org/obo/PATO_0000394;An intensity which is less than moderate in type or degree or effect or force.;;
http://purl.obolibrary.org/obo/PATO_0015025;An decrease in porosity.;;
http://purl.obolibrary.org/obo/PATO_0002040;A shape quality inhering in a bearer by virtue of the bearer's being convex on both sides or surface.;;
http://purl.obolibrary.org/obo/PATO_0001909;A nucleate quality inhering in a bearer by virtue of the bearer's having three nuclei.;;
http://purl.obolibrary.org/obo/PATO_0002400;Having a spindle-like shape that is wide in the middle and tapers at both ends.;;
http://purl.obolibrary.org/obo/PATO_0001682;A physical quality inhering in a bearer by virtue of the bearer's disposition to exert an attractive or repulsive force on other entities.;;
http://purl.obolibrary.org/obo/PATO_0001665;A spatial pattern inhering in a bearer by virtue of the bearer's being located near a surface.;;
http://purl.obolibrary.org/obo/PATO_0000188;A behavioral quality inhering in a bearer by virtue of the bearer's having or lacking skillful and effective interaction of movement.;;
http://purl.obolibrary.org/obo/PATO_0001707;A behavioral quality of a process inhering in a bearer by virtue of the bearer's exhibiting marked activity.;;
http://purl.obolibrary.org/obo/PATO_0045072;A turgor which is relatively normal or average;;
http://purl.obolibrary.org/obo/CARO_0030000;;;
http://purl.obolibrary.org/obo/PATO_0001500;A shape quality inhering in a bearer by virtue of the bearer's being gradually narrower or thinner toward one end.;;
http://purl.obolibrary.org/obo/PATO_0000638;A structural quality inhering in a bearer by virtue of the bearer's consisting of blebbing of the nucleus and DNA fragmentation due to the cell undergoing a specific form of programmed cell death termed apoptosis.;;
http://purl.obolibrary.org/obo/PATO_0002339;A quality of being covered with stiff or rough hairs.;;
http://purl.obolibrary.org/obo/GO_0044464;;;
http://purl.obolibrary.org/obo/PATO_0001669;A susceptibility toward an external stimulus which is higher than normal/average.;;
http://purl.obolibrary.org/obo/PATO_0002044;A shape quality inhering in a bearer by virtue of the bearer's being a quadrilateral with two parallel sides.;;
http://purl.obolibrary.org/obo/PATO_0002027;A concentration quality inhering in a bearer by virtue of the bearer's amount of osmoles of solute per kilogram of solvent.;;
http://purl.obolibrary.org/obo/PATO_0085001;An osmolarity quality inhering in a bearer by virtue of the total amount of ionic salts dissolved in the bearer.;;
http://purl.obolibrary.org/obo/PATO_0002404;Affecting a segment or segments.;;
http://purl.obolibrary.org/obo/PATO_0002421;Having or resembling the characteristic of a cicatrix - a scar resulting from formation and contraction of fibrous tissue.;;
http://purl.obolibrary.org/obo/PATO_0002514;An orientation quality inhering in a bearer by virtue of the bearer having a position that is directed anteromedially.;;
http://purl.obolibrary.org/obo/PATO_0045059;A thickness which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0045076;A variability of rate which is relatively normal or average;;
http://purl.obolibrary.org/obo/PATO_0005016;A positional quality inhering in a bearer by virtue of the bearer's being enclosed on all sides by another entity.;;
http://purl.obolibrary.org/obo/PATO_0000759;A behavioral quality inhering in a bearer by virtue of the bearer's exhibiting paralytic behaviour when subjected to mechanical shock.;;
